run_idx,w,seed,mean_S,profit,lost_sales,collapsed
2,0.5,44,0.0,-128.1,0.5173429937269243,1
0,0.5,42,0.0,100.91940000000005,0.3634571276851414,0
1,0.5,43,207.54775404930115,460.97000000000037,0.03799300701066997,0
3,0.5,45,0.0,80.926,0.32879028718593367,0
6,0.5,48,0.0,-128.1,0.5208458755746784,1
4,0.5,46,255.33979199826717,460.97000000000037,0.02594115887956696,0
8,0.5,50,0.0,-56.09999999999991,0.44846660422551893,0
7,0.5,49,0.0,96.3709000000001,0.3266148556817702,0
5,0.5,47,0.0,-128.1,0.5165791280650451,1
9,0.5,51,123.08298051357269,95.86100000000023,0.3106552116592569,0
10,0.5,52,0.0,1.7732999999999302,0.40435946534246475,0
11,0.5,53,236.81887425482273,460.97000000000037,0.04745082447970701,0
19,0.5,61,0.0,-128.1,0.5177674686837654,1
15,0.5,57,0.0,321.56640000000027,0.2012268944883516,0
16,0.5,58,0.0,43.56800000000002,0.34839983740756403,0
13,0.5,55,0.0,-123.10340000000001,0.5198166035137219,0
17,0.5,59,0.0,-128.1,0.5277165188516677,1
14,0.5,56,0.0,-128.1,0.5182402578694825,1
18,0.5,60,0.0,-128.1,0.5121162746831248,1
20,0.55,42,0.0,358.6677000000003,0.16419235061797874,0
21,0.55,43,14.452502131462097,461.08000000000027,0.05412910163228809,0
12,0.5,54,0.0,180.38539999999983,0.24462928755575053,0
22,0.55,44,0.0,-128.1,0.5173429937269243,1
23,0.55,45,213.57830986380577,460.97000000000037,0.04147110747986096,0
24,0.55,46,0.0,392.16000000000037,0.12201771255283651,0
25,0.55,47,0.0,-128.1,0.5165791280650451,1
26,0.55,48,0.0,-68.19440000000002,0.47572250713302316,0
28,0.55,50,255.77586889266968,460.97000000000037,0.036138690124453685,0
29,0.55,51,0.0,88.12819999999991,0.33323915555179,0
27,0.55,49,0.0,-128.1,0.5314132341582017,1
31,0.55,53,0.0,-128.1,0.5149925463760175,1
32,0.55,54,0.0,-59.469299999999976,0.45457649345511786,0
30,0.55,52,239.58566784858704,460.97000000000037,0.037235582552371874,0
34,0.55,56,96.81887924671173,196.25600000000014,0.2092495267099092,0
33,0.55,55,0.0,213.8882999999999,0.22482896974026012,0
37,0.55,59,180.04560470581055,467.2400000000007,0.053830898053235224,0
36,0.55,58,0.0,466.5460000000001,0.06693459546328953,0
35,0.55,57,0.0,365.8631999999997,0.09173003346819669,0
40,0.6,42,263.8280149549246,460.97000000000037,0.03710145484061332,0
39,0.55,61,0.0,-128.1,0.5177674686837654,1
41,0.6,43,253.1668283045292,460.97000000000037,0.03799300701066997,0
38,0.55,60,0.0,-128.1,0.5121162746831248,1
42,0.6,44,0.0,-128.1,0.5173429937269243,1
43,0.6,45,0.0,351.1400000000004,0.17270885229859007,0
44,0.6,46,60.645490884780884,258.8114999999999,0.16793008421593664,0
45,0.6,47,0.0,-128.1,0.5165791280650451,1
46,0.6,48,0.0,142.23370000000003,0.3142308823030376,0
47,0.6,49,0.0,-119.72790000000009,0.5233341519885156,0
49,0.6,51,216.77624434232712,460.97000000000037,0.03715506805506245,0
48,0.6,50,173.87358099222183,469.5379999999997,0.036138690124453685,0
50,0.6,52,0.0,457.5919,0.05382714443300009,0
52,0.6,54,148.3534425497055,313.4866,0.09073740347872397,0
53,0.6,55,0.0,93.03510000000001,0.3716314647925481,0
51,0.6,53,0.0,-128.1,0.5149925463760175,1
55,0.6,57,0.0,348.74630000000025,0.07602970665020888,0
54,0.6,56,0.0,283.28419999999994,0.21831723076570403,0
60,0.65,42,270.75478062033653,460.97000000000037,0.03710145484061332,0
57,0.6,59,0.0,388.76100000000037,0.1515978664202346,0
56,0.6,58,0.0,264.1190999999999,0.15535840238787135,0
58,0.6,60,0.0,-128.1,0.5121162746831248,1
61,0.65,43,248.2199352234602,460.97000000000037,0.03799300701066997,0
59,0.6,61,2.7856379747390747,4.6886000000000365,0.4103394397014563,0
62,0.65,44,0.0,444.1595000000004,0.08334607420054693,0
63,0.65,45,267.0562267303467,460.97000000000037,0.04147110747986096,0
64,0.65,46,268.6315067112446,460.97000000000037,0.02594115887956696,0
65,0.65,47,0.0,-128.1,0.5165791280650451,1
66,0.65,48,227.30846889317036,460.97000000000037,0.04542586911679271,0
67,0.65,49,71.69967889785767,348.7059999999996,0.09207866831487845,0
69,0.65,51,228.21353934705257,460.97000000000037,0.03715506805506245,0
68,0.65,50,67.30782985687256,413.922,0.05039289781366928,0
70,0.65,52,209.80413258075714,460.97000000000037,0.037235582552371874,0
72,0.65,54,264.1159798949957,460.97000000000037,0.044185780254916034,0
73,0.65,55,0.0,368.18790000000024,0.1477450017335632,0
71,0.65,53,47.70947992801666,345.4464,0.12030340083573998,0
74,0.65,56,142.59403944015503,262.46099999999973,0.14446114759580514,0
75,0.65,57,0.0,293.0765999999998,0.13733173042540495,0
76,0.65,58,272.50613272190094,460.97000000000037,0.036885427264077605,0
77,0.65,59,254.62236069142818,460.97000000000037,0.053830898053235224,0
79,0.65,61,0.0,415.0907000000003,0.09311324224310266,0
78,0.65,60,0.0,-128.1,0.5121162746831248,1
82,0.7,44,0.0,-128.1,0.5173429937269243,1
84,0.7,46,6.096735596656799,468.57970000000034,0.0472840485347225,0
81,0.7,43,38.236379623413086,461.08000000000027,0.05412910163228809,0
83,0.7,45,270.77791281044483,460.97000000000037,0.04147110747986096,0
80,0.7,42,223.73932600021362,460.97000000000037,0.03710145484061332,0
87,0.7,49,0.0,426.9671000000002,0.10207166480948089,0
85,0.7,47,215.8171534538269,460.97000000000037,0.03585400495866623,0
86,0.7,48,121.54196202754974,264.9799999999999,0.1448828125824044,0
88,0.7,50,0.0,459.77980000000036,0.06550151055373232,0
89,0.7,51,253.78802046179771,460.97000000000037,0.03715506805506245,0
90,0.7,52,0.0,362.32760000000013,0.16770949445648115,0
92,0.7,54,0.0,426.37500000000034,0.10439598150335039,0
91,0.7,53,0.0,127.6990000000001,0.3351146754155369,0
97,0.7,59,0.0,461.19000000000034,0.08537439483741141,0
93,0.7,55,23.733124136924744,448.43380000000013,0.07769926538982816,0
94,0.7,56,144.4898173213005,375.75069999999977,0.04724349440591504,0
96,0.7,58,247.12196830660105,460.97000000000037,0.036885427264077605,0
98,0.7,60,0.0,-128.1,0.5121162746831248,1
99,0.7,61,244.38794143497944,460.97000000000037,0.039271175312974645,0
95,0.7,57,266.7322736233473,460.97000000000037,0.03629048827406881,0
100,0.75,42,0.0,334.11320000000006,0.16277978485132932,0
101,0.75,43,0.0,461.19000000000034,0.0697456582466723,0
102,0.75,44,0.0,-128.1,0.5173429937269243,1
103,0.75,45,277.71744318306446,460.97000000000037,0.04147110747986096,0
107,0.75,49,172.8959158062935,468.4009999999997,0.05579236710804858,0
104,0.75,46,0.0,426.50000000000034,0.08861228823815374,0
105,0.75,47,259.8571963608265,460.97000000000037,0.03585400495866623,0
106,0.75,48,245.82301639020443,460.97000000000037,0.04542586911679271,0
108,0.75,50,273.1200363487005,460.97000000000037,0.036138690124453685,0
109,0.75,51,245.82177586853504,460.97000000000037,0.03715506805506245,0
110,0.75,52,0.0,453.36230000000035,0.07719729721619681,0
111,0.75,53,0.0,369.5459000000004,0.12392007657894755,0
112,0.75,54,193.06769222021103,462.678,0.044185780254916034,0
113,0.75,55,165.29630869627,426.4100000000002,0.04840509300787349,0
115,0.75,57,152.215413749218,334.284,0.07215224962247022,0
122,0.8,44,263.66438157856464,460.97000000000037,0.03857981550418275,0
114,0.75,56,0.7020086050033569,461.19000000000034,0.06830643262386055,0
120,0.8,42,0.0,461.19000000000034,0.06682628959198468,0
119,0.75,61,208.10897648334503,460.97000000000037,0.039271175312974645,0
125,0.8,47,25.59266984462738,461.08000000000027,0.052523690197802606,0
124,0.8,46,278.32215279340744,460.97000000000037,0.02594115887956696,0
116,0.75,58,243.51702351123095,460.97000000000037,0.036885427264077605,0
118,0.75,60,0.0,-128.1,0.5121162746831248,1
117,0.75,59,265.4154263436794,460.97000000000037,0.053830898053235224,0
123,0.8,45,28.542935848236084,462.23030000000034,0.07335012151223015,0
121,0.8,43,0.0,267.0075,0.16128271673929556,0
126,0.8,48,234.93066523224115,460.97000000000037,0.04542586911679271,0
127,0.8,49,0.0,374.92280000000034,0.15670991805810225,0
128,0.8,50,189.1210600733757,463.79299999999995,0.036138690124453685,0
133,0.8,55,241.4681613445282,460.97000000000037,0.04840509300787349,0
129,0.8,51,273.1665764003992,460.97000000000037,0.03715506805506245,0
134,0.8,56,0.0,384.3899999999999,0.10990399267168968,0
130,0.8,52,272.4581565707922,460.97000000000037,0.037235582552371874,0
131,0.8,53,0.0,415.71960000000036,0.1203739205769309,0
135,0.8,57,0.0,461.19000000000034,0.06756613428603724,0
132,0.8,54,239.7849839180708,460.97000000000037,0.044185780254916034,0
136,0.8,58,0.0,355.69180000000006,0.14934282184917522,0
137,0.8,59,280.0441198050976,460.97000000000037,0.053830898053235224,0
138,0.8,60,256.09385780990124,460.97000000000037,0.03205894010928417,0
139,0.8,61,258.1779044121504,460.97000000000037,0.039271175312974645,0
