phi,seed,timestep,order_qty,inventory,lost_sales,true_reward
0.0,0,25000,0.0,221.7,0.0,-363.78000000000014
0.0,0,50000,0.0,221.68148148148146,0.0,-363.5466666666667
0.0,0,75000,0.0,221.62407407407406,0.0,-362.73666666666674
0.0,0,100000,0.022675910040184304,221.5074074074074,0.0,-364.84000000000015
0.0,0,125000,0.022187143012329383,221.66296296296292,0.0,-365.61333333333346
0.0,0,150000,0.022236419165575946,221.57407407407405,0.0,-363.3000000000001
0.0,0,175000,0.0304882267869457,221.70555555555555,0.0,-361.01000000000005
0.0,0,200000,0.023784818050141137,221.5648148148148,0.0,-364.9500000000001
0.0,0,225000,0.02362749841478136,221.6,0.0,-361.37333333333345
0.0,0,250000,0.017422676196804755,221.7407407407407,0.0,-363.7000000000001
0.0,1,25000,0.11969879236486224,221.45555555555555,0.0,-364.2820000000001
0.0,1,50000,0.01995783714508569,221.68148148148146,0.0,-363.5466666666667
0.0,1,75000,0.0171437989782404,221.62407407407406,0.0,-362.73666666666674
0.0,1,100000,0.013474053144454956,221.5074074074074,0.0,-364.84000000000015
0.0,1,125000,0.0019111253666105094,221.66296296296292,0.0,-365.61333333333346
0.0,1,150000,0.0,221.57407407407405,0.0,-363.3000000000001
0.0,1,175000,0.0,221.70555555555555,0.0,-361.01000000000005
0.0,1,200000,0.0,221.5648148148148,0.0,-364.9500000000001
0.0,1,225000,0.0,221.6,0.0,-361.37333333333345
0.0,1,250000,0.0,221.7407407407407,0.0,-363.7000000000001
0.5,0,25000,0.0,221.7,0.0,-1273.379999999999
0.5,0,50000,0.0,221.68148148148146,0.0,-1273.1466666666656
0.5,0,75000,0.0,221.62407407407406,0.0,-1272.3366666666657
0.5,0,100000,0.0,221.5074074074074,0.0,-1274.439999999999
0.5,0,125000,0.0,221.66296296296292,0.0,-1275.2133333333322
0.5,0,150000,0.0,221.57407407407405,0.0,-1272.899999999999
0.5,0,175000,0.0,221.70555555555555,0.0,-1270.609999999999
0.5,0,200000,0.0,221.5648148148148,0.0,-1274.549999999999
0.5,0,225000,0.0,221.6,0.0,-1270.9733333333322
0.5,0,250000,0.0,221.7407407407407,0.0,-1273.299999999999
0.5,1,25000,0.08735664967033598,221.4148148148148,0.0,-1276.2333333333322
0.5,1,50000,0.10659995553670105,221.4777777777778,0.0,-1275.2833333333317
0.5,1,75000,0.06049027200098391,221.4,0.0,-1274.6599999999987
0.5,1,100000,0.010979432309115375,221.5074074074074,0.0,-1274.439999999999
0.5,1,125000,0.0006204523973994785,221.66296296296292,0.0,-1275.2133333333322
0.5,1,150000,0.0,221.57407407407405,0.0,-1272.899999999999
0.5,1,175000,0.0,221.70555555555555,0.0,-1270.609999999999
0.5,1,200000,0.0,221.5648148148148,0.0,-1274.549999999999
0.5,1,225000,0.0,221.6,0.0,-1270.9733333333322
0.5,1,250000,0.0,221.7407407407407,0.0,-1273.299999999999
1.0,0,25000,0.0,221.7,0.0,-2590.5800000000013
1.0,0,50000,0.0,221.68148148148146,0.0,-2588.7466666666683
1.0,0,75000,0.0,221.62407407407406,0.0,-2587.2700000000013
1.0,0,100000,0.0,221.5074074074074,0.0,-2597.906666666668
1.0,0,125000,0.0,221.66296296296292,0.0,-2600.5466666666684
1.0,0,150000,0.0,221.57407407407405,0.0,-2589.0333333333347
1.0,0,175000,0.0,221.70555555555555,0.0,-2575.8100000000013
1.0,0,200000,0.0,221.5648148148148,0.0,-2600.0166666666682
1.0,0,225000,0.0,221.6,0.0,-2581.506666666668
1.0,0,250000,0.0,221.7407407407407,0.0,-2589.966666666668
1.0,1,25000,0.0,221.7,0.0,-2590.5800000000013
1.0,1,50000,0.0011159175920679614,221.68148148148146,0.0,-2588.7466666666683
1.0,1,75000,0.0,221.62407407407406,0.0,-2587.2700000000013
1.0,1,100000,0.001234723213646147,221.5074074074074,0.0,-2597.906666666668
1.0,1,125000,0.0,221.66296296296292,0.0,-2600.5466666666684
1.0,1,150000,0.0,221.57407407407405,0.0,-2589.0333333333347
1.0,1,175000,0.0,221.70555555555555,0.0,-2575.8100000000013
1.0,1,200000,0.0010044003526369731,221.5648148148148,0.0,-2600.0166666666682
1.0,1,225000,0.00817143886729523,221.6,0.0,-2581.506666666668
1.0,1,250000,0.0,221.7407407407407,0.0,-2589.966666666668
