experiment,timestep,order_qty,inventory,lost_sales,true_reward
A0_0_scripted,20000,0.0,221.5537634408602,0.8309498964880105,-362.7366666666667
A0_0_scripted,40000,0.0,221.46236559139786,0.835928597160649,-364.06
A0_0_scripted,60000,0.0,221.71505376344086,0.8293145266732941,-363.1366666666666
A0_0_scripted,80000,0.004835500184333686,221.58602150537635,0.832331186967016,-363.4166666666667
A0_0_scripted,100000,0.003973920688484654,221.7311827956989,0.8290534761359947,-363.0600000000001
A1_1_scripted,20000,1.8181818181818181,195.9462365591398,0.5116565047672372,-128.1
A1_1_scripted,40000,1.827529882673513,196.4390681003584,0.5113765847943662,-128.1
A1_1_scripted,60000,1.8181818181818181,196.37992831541217,0.52465453841699,-128.1
A1_1_scripted,80000,1.8181818181818181,196.90322580645162,0.5057600984478295,-128.1
A1_1_scripted,100000,1.8341433063544559,195.81362007168457,0.5295823500916175,-128.1
A2_3_scripted,20000,3.6404011373492806,151.00896057347668,0.07472745428932237,151.66499999999996
A2_3_scripted,40000,3.6391324546122266,152.1469534050179,0.04324617328623532,151.66499999999996
A2_3_scripted,60000,3.6363636363636362,151.63261648745518,0.04962188938701079,151.66499999999996
A2_3_scripted,80000,3.6412319186679794,151.4408602150538,0.051551161458821215,151.66499999999996
A2_3_scripted,100000,3.6363636363636362,151.49820788530465,0.0660859052887974,151.66499999999996
B2_Distributors,20000,1.8184505793294221,195.23118279569894,0.8385348424370583,293.70166666666665
B2_Distributors,40000,1.8181818181818181,195.28673835125446,0.8296550868991504,296.55833333333334
B2_Distributors,60000,1.8181818181818181,195.22759856630822,0.8344018596319019,295.22166666666664
B2_Distributors,80000,1.8181818181818181,195.22222222222226,0.8308317338817623,296.48499999999996
B2_Distributors,100000,1.8181818181818181,195.1505376344086,0.8363520260819487,294.9516666666666
B3_Factories,20000,2.730416862982692,294.18279569892474,0.835860980650231,41.27666666666662
B3_Factories,40000,2.727272727272727,294.2562724014337,0.8296842223534461,42.86666666666667
B3_Factories,60000,2.727272727272727,294.33870967741933,0.8312578382164916,42.039999999999985
B3_Factories,80000,2.727272727272727,294.20071684587816,0.8337000163381753,41.976666666666624
B3_Factories,100000,2.727272727272727,294.33691756272407,0.8347807724763482,40.74999999999995
C_Freeze,20000,1.8472058074492397,195.9462365591398,0.5116565047672372,-128.1
C_Freeze,40000,1.864361152113086,194.92831541218638,0.49115768485482275,-108.27400000000004
C_Freeze,60000,1.8662804629465546,195.0573476702509,0.5082633156037827,-108.57
C_Freeze,80000,1.8631200556201164,195.2258064516129,0.487013067699299,-102.23599999999998
C_Freeze,100000,1.8828770279282272,193.415770609319,0.5084946623371037,-98.64999999999998
C_Release,120000,0.0707952142965914,220.07526881720432,0.8309498964880105,-363.70666666666665
C_Release,140000,0.06239339799591989,219.98387096774195,0.835928597160649,-365.03000000000003
C_Release,160000,0.05474006371064619,220.23655913978493,0.8293145266732941,-364.1066666666666
C_Release,180000,0.05005017193880948,220.10752688172042,0.832331186967016,-364.3866666666667
C_Release,200000,0.029915616397905832,221.7311827956989,0.8290534761359947,-363.0600000000001
