protocol,phi,bullwhip,order_qty,inventory,lost_sales,profit
scripted,0.0,2.4177839359393037e-08,0.017151926502033517,196.6935483870968,0.5068083109006487,-128.10000000000002
scripted,0.25,0.0007455860695169631,0.15397426881172038,193.41397849462365,0.4642917859782908,-79.47300000000003
scripted,0.5,0.0002426167175736596,0.10670502689149644,196.6935483870968,0.5068083109006487,-128.10000000000002
scripted,0.75,1.3169921759270542e-05,0.0013440883821911281,196.6935483870968,0.5068083109006487,-128.10000000000002
scripted,1.0,0.0003486961820642167,0.07209678415898924,194.59139784946237,0.4846997179410225,-98.74999999999997
team_reward,0.0,8.84207009503539e-13,1.0375773972453493,219.23978494623657,0.7526070337318136,-279.32100000000014
team_reward,0.25,0.0001180554985451282,0.805031318707448,220.7182795698925,0.7526070337318136,-278.35100000000017
team_reward,0.5,0.0013154329348864788,2.175934190244386,225.9817204301075,0.6468139889460759,-196.63400000000007
team_reward,0.75,0.0,0.0,221.5365591397849,0.8372414695604036,-365.0140000000001
team_reward,1.0,0.0002895809120393796,0.5347002465797193,218.24516129032259,0.7916690810373167,-307.5510000000001
