num_averse,phi,seed,bullwhip,lost_sales,inventory_variance
0,0.0,42,0.0,0.8341625207296849,103.36370370370368
0,0.0,1337,0.0,0.8341625207296849,103.36370370370368
0,0.0,2026,0.22996130458817032,0.8275290215588723,104.8822222222222
1,0.16666666666666666,42,0.0,0.8341625207296849,103.36370370370368
1,0.16666666666666666,1337,0.0,0.8341625207296849,103.36370370370368
1,0.16666666666666666,2026,0.0,0.8341625207296849,103.36370370370368
2,0.3333333333333333,42,0.0,0.8341625207296849,103.36370370370368
2,0.3333333333333333,1337,0.0,0.8341625207296849,103.36370370370368
2,0.3333333333333333,2026,0.0,0.8341625207296849,103.36370370370368
3,0.5,42,0.0,0.8341625207296849,103.36370370370368
3,0.5,1337,0.0,0.8341625207296849,103.36370370370368
3,0.5,2026,0.0,0.8341625207296849,103.36370370370368
4,0.6666666666666666,42,0.0,0.8341625207296849,103.36370370370368
4,0.6666666666666666,1337,0.0,0.8341625207296849,103.36370370370368
4,0.6666666666666666,2026,0.0,0.8341625207296849,103.36370370370368
5,0.8333333333333334,42,0.0,0.8341625207296849,103.36370370370368
5,0.8333333333333334,1337,0.0,0.8341625207296849,122.15148148148144
5,0.8333333333333334,2026,0.0,0.8341625207296849,103.36370370370368
6,1.0,42,0.0,0.8341625207296849,103.36370370370368
6,1.0,1337,0.0,0.8341625207296849,103.36370370370368
6,1.0,2026,0.0,0.8341625207296849,103.36370370370368
